2023.02.23.,((allergy) OR (food allergy)) AND ((oral immunotherapy) OR (oral immune therapy) OR (OIT)) AND ((sustained unresponsiveness))
PMID,Title
41704072,Codfish Oral Immunotherapy in Children Aged 2-10: Randomized Placebo-Controlled Study
41670016,"Wheat allergy, a new and emerging threat of food allergy for children"
41562779,"Oral Immunotherapy-Induced Changes in IgE, IgG, and IgA: A Review of Antibody Isotype Shifts and Their Clinical Relevance in Food Allergy"
41488220,"A phase 2 randomized controlled trial using biologics to improve multi OIT outcomes (COMBINE): design, rationale, and methods"
41460610,Comparative Efficacy of Combined and Standalone Oral Immunotherapies for Peanut Allergy: a Bayesian Network Meta-Analysis of RCTs
41450377,An Atypical Presentation of Allergic Bronchopulmonary Aspergillosis
41428035,Immunological Mechanisms and Outcomes of T-cell-Targeted Immunotherapy in Food Allergy: A Systematic Review
41276902,Developing a Standardised National Model of Care for Treatment of Peanut Allergy in Infants: The ADAPT Peanut Oral Immunotherapy Program
41225120,Modulating the Allergen-Specific Immune Response to Achieve Remission of Food Allergy Through Oral Immunotherapy
41200192,Trends in allergen-reactive CRTH2+ T cells and TARC associated with successful outcomes in a phase 2 cashew oral immunotherapy study
41188408,Peanut allergy oral immunotherapy drives single-cell multi-omic changes in peanut-reactive T cells associated with sustained unresponsiveness
41097819,Probiotic oral immunotherapy for egg and milk allergy induces sustained unresponsiveness
41087776,Recent Advances in Oral Immunotherapy for Food Allergies
40804708,"Oral Peanut Immunotherapy With Butyrate Adjuvant (OPIA) in Children: A Randomised, Controlled Trial"
40766832,Shrimp oral immunotherapy outcomes in the phase 2 clinical trial: MOTIF
40630369,The Role of Omalizumab as an Adjunct to Oral Immunotherapy in Pediatric Food Allergy: A Systematic Review
40558527,Advances in Food Allergy Immunotherapy: Current Strategies and Role of Antibodies Isotypes
40510735,Biologics in IgE-mediated food allergy: A systematic review and meta-analysis of interventional studies
40463361,The safety and efficacy of oral immunotherapy compared to epicutaneous immunotherapy in peanut allergen desensitisation amongst the paediatric cohort-a narrative review
40311815,Fine resolution of the N-terminal IgE-binding epitope of Ara h 2: Discovery of variants with enhanced IgE binding
40204488,
39940042,Food oral immunotherapy
39928078,Peanut Oral Immunotherapy in Children with High-Threshold Peanut Allergy
39675524,Cost-Effectiveness of Oral Immunotherapy for Egg Allergy According to Age of Therapy Commencement
39530396,Immunomodulatory metabolites in IgE-mediated food allergy and oral immunotherapy outcomes based on metabolomic profiling
39505279,Baseline epitope-specific IgE profiles are predictive of sustained unresponsiveness or high threshold 1-year post oral immunotherapy in the POISED trial
39450374,Probiotics and other adjuvants in allergen-specific immunotherapy for food allergy: a comprehensive review
39244697,Association of cytotoxic effector memory CD8(+) T cells with sustained unresponsiveness after peanut oral immunotherapy
39099231,Two-year post-treatment outcomes following peanut oral immunotherapy in the Probiotic and Peanut Oral Immunotherapy-003 Long-Term (PPOIT-003LT) study
39022333,Mechanisms of desensitization with oral immunotherapy and epicutaneous immunotherapy
39022134,Food allergy oral immunotherapy
39021850,Long term oral immunotherapy management and assessment of success
39021842,Sublingual immunotherapy as an option for effective food allergy treatment
